Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Cost per item,Status
lab-grown-diamond-ring-lr-0051,Lab-Grown Diamond Ring LR-0051,"<p>A lab-grown diamond ring by Velonna Jewels, reference LR-0051. Total diamond weight is approximately 3.894 ct across 19 stones. Available in 925 silver, 9K, 14K, or 18K gold with rose, white, or yellow metal colour.</p><p>Made to order. Final specifications and lead time are confirmed by our team.</p>",Velonna Jewels,Lab Grown Diamond Ring,"Lab Grown Diamonds, Unisex, Ring",TRUE,Metal,925 Silver,Colour,Rose,,,LR-0051-925-R,2.244,,,deny,manual,173308,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0051/LR-0051-R-view1.jpg,1,Lab-Grown Diamond Ring LR-0051 in rose metal,FALSE,Lab-Grown Diamond Ring LR-0051,Lab-Grown Diamond Ring LR-0051 with 3.894 ct lab-grown diamonds. Made to order by Velonna Jewels.,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0051/LR-0051-R-view1.jpg,g,168260,active
lab-grown-diamond-ring-lr-0051,,,,,,,Metal,925 Silver,Colour,White,,,LR-0051-925-W,2.244,,,deny,manual,173308,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0051/LR-0051-R-view2.jpg,2,Lab-Grown Diamond Ring LR-0051 in white metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0051/LR-0051-W-view1.jpg,g,168260,
lab-grown-diamond-ring-lr-0051,,,,,,,Metal,925 Silver,Colour,Yellow,,,LR-0051-925-Y,2.244,,,deny,manual,173308,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0051/LR-0051-R-view3.jpg,3,Lab-Grown Diamond Ring LR-0051 in yellow metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0051/LR-0051-Y-view1.jpg,g,168260,
lab-grown-diamond-ring-lr-0051,,,,,,,Metal,9K Gold,Colour,Rose,,,LR-0051-9K-R,2.508,,,deny,manual,188190,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0051/LR-0051-R-view4.jpg,4,Lab-Grown Diamond Ring LR-0051 in rose metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0051/LR-0051-R-view1.jpg,g,182709,
lab-grown-diamond-ring-lr-0051,,,,,,,Metal,9K Gold,Colour,White,,,LR-0051-9K-W,2.508,,,deny,manual,188190,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0051/LR-0051-W-view1.jpg,5,Lab-Grown Diamond Ring LR-0051 in white metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0051/LR-0051-W-view1.jpg,g,182709,
lab-grown-diamond-ring-lr-0051,,,,,,,Metal,9K Gold,Colour,Yellow,,,LR-0051-9K-Y,2.508,,,deny,manual,188190,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0051/LR-0051-W-view2.jpg,6,Lab-Grown Diamond Ring LR-0051 in yellow metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0051/LR-0051-Y-view1.jpg,g,182709,
lab-grown-diamond-ring-lr-0051,,,,,,,Metal,14K Gold,Colour,Rose,,,LR-0051-14K-R,2.805,,,deny,manual,199810,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0051/LR-0051-W-view3.jpg,7,Lab-Grown Diamond Ring LR-0051 in rose metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0051/LR-0051-R-view1.jpg,g,193990,
lab-grown-diamond-ring-lr-0051,,,,,,,Metal,14K Gold,Colour,White,,,LR-0051-14K-W,2.805,,,deny,manual,199810,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0051/LR-0051-W-view4.jpg,8,Lab-Grown Diamond Ring LR-0051 in white metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0051/LR-0051-W-view1.jpg,g,193990,
lab-grown-diamond-ring-lr-0051,,,,,,,Metal,14K Gold,Colour,Yellow,,,LR-0051-14K-Y,2.805,,,deny,manual,199810,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0051/LR-0051-Y-view1.jpg,9,Lab-Grown Diamond Ring LR-0051 in yellow metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0051/LR-0051-Y-view1.jpg,g,193990,
lab-grown-diamond-ring-lr-0051,,,,,,,Metal,18K Gold,Colour,Rose,,,LR-0051-18K-R,3.3,,,deny,manual,214090,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0051/LR-0051-Y-view2.jpg,10,Lab-Grown Diamond Ring LR-0051 in rose metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0051/LR-0051-R-view1.jpg,g,207854,
lab-grown-diamond-ring-lr-0051,,,,,,,Metal,18K Gold,Colour,White,,,LR-0051-18K-W,3.3,,,deny,manual,214090,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0051/LR-0051-Y-view3.jpg,11,Lab-Grown Diamond Ring LR-0051 in white metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0051/LR-0051-W-view1.jpg,g,207854,
lab-grown-diamond-ring-lr-0051,,,,,,,Metal,18K Gold,Colour,Yellow,,,LR-0051-18K-Y,3.3,,,deny,manual,214090,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0051/LR-0051-Y-view4.jpg,12,Lab-Grown Diamond Ring LR-0051 in yellow metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0051/LR-0051-Y-view1.jpg,g,207854,
lab-grown-diamond-ring-lr-0052,Lab-Grown Diamond Ring LR-0052,"<p>A lab-grown diamond ring by Velonna Jewels, reference LR-0052. Total diamond weight is approximately 1.97 ct across 5 stones. Available in 925 silver, 9K, 14K, or 18K gold with rose, white, or yellow metal colour.</p><p>Made to order. Final specifications and lead time are confirmed by our team.</p>",Velonna Jewels,Lab Grown Diamond Ring,"Lab Grown Diamonds, Unisex, Ring",TRUE,Metal,925 Silver,Colour,Rose,,,LR-0052-925-R,2.108,,,deny,manual,89782,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0052/LR-0052-R-view1.jpg,1,Lab-Grown Diamond Ring LR-0052 in rose metal,FALSE,Lab-Grown Diamond Ring LR-0052,Lab-Grown Diamond Ring LR-0052 with 1.97 ct lab-grown diamonds. Made to order by Velonna Jewels.,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0052/LR-0052-R-view1.jpg,g,87167,active
lab-grown-diamond-ring-lr-0052,,,,,,,Metal,925 Silver,Colour,White,,,LR-0052-925-W,2.108,,,deny,manual,89782,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0052/LR-0052-R-view2.jpg,2,Lab-Grown Diamond Ring LR-0052 in white metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0052/LR-0052-W-view1.jpg,g,87167,
lab-grown-diamond-ring-lr-0052,,,,,,,Metal,925 Silver,Colour,Yellow,,,LR-0052-925-Y,2.108,,,deny,manual,89782,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0052/LR-0052-R-view3.jpg,3,Lab-Grown Diamond Ring LR-0052 in yellow metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0052/LR-0052-Y-view1.jpg,g,87167,
lab-grown-diamond-ring-lr-0052,,,,,,,Metal,9K Gold,Colour,Rose,,,LR-0052-9K-R,2.356,,,deny,manual,103762,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0052/LR-0052-R-view4.jpg,4,Lab-Grown Diamond Ring LR-0052 in rose metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0052/LR-0052-R-view1.jpg,g,100740,
lab-grown-diamond-ring-lr-0052,,,,,,,Metal,9K Gold,Colour,White,,,LR-0052-9K-W,2.356,,,deny,manual,103762,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0052/LR-0052-W-view1.jpg,5,Lab-Grown Diamond Ring LR-0052 in white metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0052/LR-0052-W-view1.jpg,g,100740,
lab-grown-diamond-ring-lr-0052,,,,,,,Metal,9K Gold,Colour,Yellow,,,LR-0052-9K-Y,2.356,,,deny,manual,103762,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0052/LR-0052-W-view2.jpg,6,Lab-Grown Diamond Ring LR-0052 in yellow metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0052/LR-0052-Y-view1.jpg,g,100740,
lab-grown-diamond-ring-lr-0052,,,,,,,Metal,14K Gold,Colour,Rose,,,LR-0052-14K-R,2.635,,,deny,manual,114678,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0052/LR-0052-W-view3.jpg,7,Lab-Grown Diamond Ring LR-0052 in rose metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0052/LR-0052-R-view1.jpg,g,111338,
lab-grown-diamond-ring-lr-0052,,,,,,,Metal,14K Gold,Colour,White,,,LR-0052-14K-W,2.635,,,deny,manual,114678,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0052/LR-0052-W-view4.jpg,8,Lab-Grown Diamond Ring LR-0052 in white metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0052/LR-0052-W-view1.jpg,g,111338,
lab-grown-diamond-ring-lr-0052,,,,,,,Metal,14K Gold,Colour,Yellow,,,LR-0052-14K-Y,2.635,,,deny,manual,114678,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0052/LR-0052-Y-view1.jpg,9,Lab-Grown Diamond Ring LR-0052 in yellow metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0052/LR-0052-Y-view1.jpg,g,111338,
lab-grown-diamond-ring-lr-0052,,,,,,,Metal,18K Gold,Colour,Rose,,,LR-0052-18K-R,3.1,,,deny,manual,128092,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0052/LR-0052-Y-view2.jpg,10,Lab-Grown Diamond Ring LR-0052 in rose metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0052/LR-0052-R-view1.jpg,g,124361,
lab-grown-diamond-ring-lr-0052,,,,,,,Metal,18K Gold,Colour,White,,,LR-0052-18K-W,3.1,,,deny,manual,128092,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0052/LR-0052-Y-view3.jpg,11,Lab-Grown Diamond Ring LR-0052 in white metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0052/LR-0052-W-view1.jpg,g,124361,
lab-grown-diamond-ring-lr-0052,,,,,,,Metal,18K Gold,Colour,Yellow,,,LR-0052-18K-Y,3.1,,,deny,manual,128092,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0052/LR-0052-Y-view4.jpg,12,Lab-Grown Diamond Ring LR-0052 in yellow metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0052/LR-0052-Y-view1.jpg,g,124361,
lab-grown-diamond-ring-lr-0054,Lab-Grown Diamond Ring LR-0054,"<p>A lab-grown diamond ring by Velonna Jewels, reference LR-0054. Total diamond weight is approximately 3.1 ct across 3 stones. Available in 925 silver, 9K, 14K, or 18K gold with rose, white, or yellow metal colour.</p><p>Made to order. Final specifications and lead time are confirmed by our team.</p>",Velonna Jewels,Lab Grown Diamond Ring,"Lab Grown Diamonds, Unisex, Ring",TRUE,Metal,925 Silver,Colour,Rose,,,LR-0054-925-R,2.006,,,deny,manual,138444,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0054/LR-0054-R-view1.jpg,1,Lab-Grown Diamond Ring LR-0054 in rose metal,FALSE,Lab-Grown Diamond Ring LR-0054,Lab-Grown Diamond Ring LR-0054 with 3.1 ct lab-grown diamonds. Made to order by Velonna Jewels.,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0054/LR-0054-R-view1.jpg,g,134412,active
lab-grown-diamond-ring-lr-0054,,,,,,,Metal,925 Silver,Colour,White,,,LR-0054-925-W,2.006,,,deny,manual,138444,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0054/LR-0054-R-view2.jpg,2,Lab-Grown Diamond Ring LR-0054 in white metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0054/LR-0054-W-view1.jpg,g,134412,
lab-grown-diamond-ring-lr-0054,,,,,,,Metal,925 Silver,Colour,Yellow,,,LR-0054-925-Y,2.006,,,deny,manual,138444,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0054/LR-0054-R-view3.jpg,3,Lab-Grown Diamond Ring LR-0054 in yellow metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0054/LR-0054-Y-view1.jpg,g,134412,
lab-grown-diamond-ring-lr-0054,,,,,,,Metal,9K Gold,Colour,Rose,,,LR-0054-9K-R,2.242,,,deny,manual,151749,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0054/LR-0054-R-view4.jpg,4,Lab-Grown Diamond Ring LR-0054 in rose metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0054/LR-0054-R-view1.jpg,g,147329,
lab-grown-diamond-ring-lr-0054,,,,,,,Metal,9K Gold,Colour,White,,,LR-0054-9K-W,2.242,,,deny,manual,151749,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0054/LR-0054-W-view1.jpg,5,Lab-Grown Diamond Ring LR-0054 in white metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0054/LR-0054-W-view1.jpg,g,147329,
lab-grown-diamond-ring-lr-0054,,,,,,,Metal,9K Gold,Colour,Yellow,,,LR-0054-9K-Y,2.242,,,deny,manual,151749,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0054/LR-0054-W-view2.jpg,6,Lab-Grown Diamond Ring LR-0054 in yellow metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0054/LR-0054-Y-view1.jpg,g,147329,
lab-grown-diamond-ring-lr-0054,,,,,,,Metal,14K Gold,Colour,Rose,,,LR-0054-14K-R,2.5075,,,deny,manual,162136,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0054/LR-0054-W-view3.jpg,7,Lab-Grown Diamond Ring LR-0054 in rose metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0054/LR-0054-R-view1.jpg,g,157414,
lab-grown-diamond-ring-lr-0054,,,,,,,Metal,14K Gold,Colour,White,,,LR-0054-14K-W,2.5075,,,deny,manual,162136,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0054/LR-0054-W-view4.jpg,8,Lab-Grown Diamond Ring LR-0054 in white metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0054/LR-0054-W-view1.jpg,g,157414,
lab-grown-diamond-ring-lr-0054,,,,,,,Metal,14K Gold,Colour,Yellow,,,LR-0054-14K-Y,2.5075,,,deny,manual,162136,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0054/LR-0054-Y-view1.jpg,9,Lab-Grown Diamond Ring LR-0054 in yellow metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0054/LR-0054-Y-view1.jpg,g,157414,
lab-grown-diamond-ring-lr-0054,,,,,,,Metal,18K Gold,Colour,Rose,,,LR-0054-18K-R,2.95,,,deny,manual,174901,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0054/LR-0054-Y-view2.jpg,10,Lab-Grown Diamond Ring LR-0054 in rose metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0054/LR-0054-R-view1.jpg,g,169807,
lab-grown-diamond-ring-lr-0054,,,,,,,Metal,18K Gold,Colour,White,,,LR-0054-18K-W,2.95,,,deny,manual,174901,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0054/LR-0054-Y-view3.jpg,11,Lab-Grown Diamond Ring LR-0054 in white metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0054/LR-0054-W-view1.jpg,g,169807,
lab-grown-diamond-ring-lr-0054,,,,,,,Metal,18K Gold,Colour,Yellow,,,LR-0054-18K-Y,2.95,,,deny,manual,174901,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0054/LR-0054-Y-view4.jpg,12,Lab-Grown Diamond Ring LR-0054 in yellow metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0054/LR-0054-Y-view1.jpg,g,169807,
lab-grown-diamond-ring-lr-0055,Lab-Grown Diamond Ring LR-0055,"<p>A lab-grown diamond ring by Velonna Jewels, reference LR-0055. Total diamond weight is approximately 2.1 ct across 14 stones. Available in 925 silver, 9K, 14K, or 18K gold with rose, white, or yellow metal colour.</p><p>Made to order. Final specifications and lead time are confirmed by our team.</p>",Velonna Jewels,Lab Grown Diamond Ring,"Lab Grown Diamonds, Unisex, Ring",TRUE,Metal,925 Silver,Colour,Rose,,,LR-0055-925-R,2.312,,,deny,manual,95847,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0055/LR-0055-R-view1.jpg,1,Lab-Grown Diamond Ring LR-0055 in rose metal,FALSE,Lab-Grown Diamond Ring LR-0055,Lab-Grown Diamond Ring LR-0055 with 2.1 ct lab-grown diamonds. Made to order by Velonna Jewels.,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0055/LR-0055-R-view1.jpg,g,93055,active
lab-grown-diamond-ring-lr-0055,,,,,,,Metal,925 Silver,Colour,White,,,LR-0055-925-W,2.312,,,deny,manual,95847,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0055/LR-0055-R-view2.jpg,2,Lab-Grown Diamond Ring LR-0055 in white metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0055/LR-0055-W-view1.jpg,g,93055,
lab-grown-diamond-ring-lr-0055,,,,,,,Metal,925 Silver,Colour,Yellow,,,LR-0055-925-Y,2.312,,,deny,manual,95847,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0055/LR-0055-R-view3.jpg,3,Lab-Grown Diamond Ring LR-0055 in yellow metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0055/LR-0055-Y-view1.jpg,g,93055,
lab-grown-diamond-ring-lr-0055,,,,,,,Metal,9K Gold,Colour,Rose,,,LR-0055-9K-R,2.584,,,deny,manual,111179,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0055/LR-0055-R-view4.jpg,4,Lab-Grown Diamond Ring LR-0055 in rose metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0055/LR-0055-R-view1.jpg,g,107941,
lab-grown-diamond-ring-lr-0055,,,,,,,Metal,9K Gold,Colour,White,,,LR-0055-9K-W,2.584,,,deny,manual,111179,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0055/LR-0055-W-view1.jpg,5,Lab-Grown Diamond Ring LR-0055 in white metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0055/LR-0055-W-view1.jpg,g,107941,
lab-grown-diamond-ring-lr-0055,,,,,,,Metal,9K Gold,Colour,Yellow,,,LR-0055-9K-Y,2.584,,,deny,manual,111179,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0055/LR-0055-W-view2.jpg,6,Lab-Grown Diamond Ring LR-0055 in yellow metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0055/LR-0055-Y-view1.jpg,g,107941,
lab-grown-diamond-ring-lr-0055,,,,,,,Metal,14K Gold,Colour,Rose,,,LR-0055-14K-R,2.89,,,deny,manual,123153,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0055/LR-0055-W-view3.jpg,7,Lab-Grown Diamond Ring LR-0055 in rose metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0055/LR-0055-R-view1.jpg,g,119566,
lab-grown-diamond-ring-lr-0055,,,,,,,Metal,14K Gold,Colour,White,,,LR-0055-14K-W,2.89,,,deny,manual,123153,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0055/LR-0055-W-view4.jpg,8,Lab-Grown Diamond Ring LR-0055 in white metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0055/LR-0055-W-view1.jpg,g,119566,
lab-grown-diamond-ring-lr-0055,,,,,,,Metal,14K Gold,Colour,Yellow,,,LR-0055-14K-Y,2.89,,,deny,manual,123153,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0055/LR-0055-Y-view1.jpg,9,Lab-Grown Diamond Ring LR-0055 in yellow metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0055/LR-0055-Y-view1.jpg,g,119566,
lab-grown-diamond-ring-lr-0055,,,,,,,Metal,18K Gold,Colour,Rose,,,LR-0055-18K-R,3.4,,,deny,manual,137863,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0055/LR-0055-Y-view2.jpg,10,Lab-Grown Diamond Ring LR-0055 in rose metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0055/LR-0055-R-view1.jpg,g,133848,
lab-grown-diamond-ring-lr-0055,,,,,,,Metal,18K Gold,Colour,White,,,LR-0055-18K-W,3.4,,,deny,manual,137863,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0055/LR-0055-Y-view3.jpg,11,Lab-Grown Diamond Ring LR-0055 in white metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0055/LR-0055-W-view1.jpg,g,133848,
lab-grown-diamond-ring-lr-0055,,,,,,,Metal,18K Gold,Colour,Yellow,,,LR-0055-18K-Y,3.4,,,deny,manual,137863,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0055/LR-0055-Y-view4.jpg,12,Lab-Grown Diamond Ring LR-0055 in yellow metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0055/LR-0055-Y-view1.jpg,g,133848,
lab-grown-diamond-ring-lr-0057,Lab-Grown Diamond Ring LR-0057,"<p>A lab-grown diamond ring by Velonna Jewels, reference LR-0057. Total diamond weight is approximately 3.76 ct across 57 stones. Available in 925 silver, 9K, 14K, or 18K gold with rose, white, or yellow metal colour.</p><p>Made to order. Final specifications and lead time are confirmed by our team.</p>",Velonna Jewels,Lab Grown Diamond Ring,"Lab Grown Diamonds, Unisex, Ring",TRUE,Metal,925 Silver,Colour,Rose,,,LR-0057-925-R,2.618,,,deny,manual,168321,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0057/LR-0057-R-view1.jpg,1,Lab-Grown Diamond Ring LR-0057 in rose metal,FALSE,Lab-Grown Diamond Ring LR-0057,Lab-Grown Diamond Ring LR-0057 with 3.76 ct lab-grown diamonds. Made to order by Velonna Jewels.,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0057/LR-0057-R-view1.jpg,g,163418,active
lab-grown-diamond-ring-lr-0057,,,,,,,Metal,925 Silver,Colour,White,,,LR-0057-925-W,2.618,,,deny,manual,168321,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0057/LR-0057-R-view2.jpg,2,Lab-Grown Diamond Ring LR-0057 in white metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0057/LR-0057-W-view1.jpg,g,163418,
lab-grown-diamond-ring-lr-0057,,,,,,,Metal,925 Silver,Colour,Yellow,,,LR-0057-925-Y,2.618,,,deny,manual,168321,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0057/LR-0057-R-view3.jpg,3,Lab-Grown Diamond Ring LR-0057 in yellow metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0057/LR-0057-Y-view1.jpg,g,163418,
lab-grown-diamond-ring-lr-0057,,,,,,,Metal,9K Gold,Colour,Rose,,,LR-0057-9K-R,2.926,,,deny,manual,185683,,TRUE,TRUE,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0057/LR-0057-R-view4.jpg,4,Lab-Grown Diamond Ring LR-0057 in rose metal,,,,https://raw.githubusercontent.com/reshabhdatta/Velonna/main/products/ladies-rings/LR-0057/LR-0057-R-view1.jpg,g,180275,
